1001, Anything, 0.7, 0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|97|98|99|100|101|102|103|104|105|106|107|108|109|110|111|112|113|114|115|116|117|118|119|120|121|122|123|124|125|126|127|128|129|130|131|132|133|134|135|136|137|138|139|140|141|143|144|145|146|147|200|201|202|203|242|243|244|245|246|247|248|249|250|251|252|253|254|255|256|257|258|259|260|261|262|263|264|265|266|267|268|269|270|271|272|273|274|275|276|290|291|292|293
1002, ForHotPreds, 0.5, 21|26|56|71|78|96|117|248|254|260|262|267|268|269|270|271|290
1003, Hidden, 0.3, 200|201|202|203|291
1004, God, 0.01, 242|243|249|255|271
1006, GrowthModifier, 0.4, 267|268|269|270|271|272|273|274
1007, ProbablyPrey, 0.6, 43
1009, Immortality, 0.05, 64|124|125|292|293
1010, MagicStuff, 0.3, 12|46|61|74|100|105|106|128|143|146|147
1011, FightingStuff, 0.3, 0|5|7|8|10|23|28|38|42|51|60|99|101|114|126|131|137
1012, VoreStuff, 0.3, 9|21|22|26|56|68|70|71|75|76|77|78|79|81|82|83|98|133|140|141|253
